trip_jarak,beh_peta_potensi,sosdem_usia,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_ofm,loc_jml_b_permukiman,loc_jumlah_taman,trip_jenis_pesanan_Ride,trip_pickup
3.56,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
3.15,1,41,5499999.5,4499999.5,1,0,1,163,829,3,1,Citarum
2.96,1,41,5499999.5,4499999.5,1,0,0,49,1754,2,1,Cipaganti
0.9,1,41,5499999.5,4499999.5,1,0,1,18,542,0,0,Pamoyanan
3.34,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
0.94,1,41,5499999.5,4499999.5,1,0,1,66,1014,0,1,Kebon Pisang
2.01,1,41,5499999.5,4499999.5,1,0,0,48,844,0,1,Paledang
1.39,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
2.64,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
3.38,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
2.74,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.42,1,41,5499999.5,4499999.5,1,0,1,125,1428,5,1,Cihapit
1.75,1,41,5499999.5,4499999.5,1,0,1,35,465,3,1,Babakan Ciamis
1.1,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
2.71,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
1.57,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
2.67,1,41,5499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
0.85,1,41,5499999.5,4499999.5,1,0,0,46,948,0,0,Pasirkaliki
1.25,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.08,1,41,5499999.5,4499999.5,1,0,0,106,9190,0,1,Dago
0.76,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.06,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
1.64,1,41,5499999.5,4499999.5,1,0,1,66,1014,0,0,Kebon Pisang
1.94,1,41,5499999.5,4499999.5,1,0,2,90,1681,3,1,Taman Sari
0.89,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.25,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
2.77,1,41,5499999.5,4499999.5,1,0,1,66,1014,0,1,Kebon Pisang
2.8,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
1.98,1,41,5499999.5,4499999.5,1,0,1,35,465,3,1,Babakan Ciamis
2.21,1,41,5499999.5,4499999.5,1,0,2,75,135,2,1,Braga
2.58,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.8,1,41,5499999.5,4499999.5,1,0,0,24,2425,0,1,Sukabungah
0.85,1,41,5499999.5,4499999.5,1,0,1,95,4699,0,1,Gegerkalong
0.65,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
3.01,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.88,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.41,1,41,5499999.5,4499999.5,1,0,1,89,2356,0,1,Pasteur
1.0,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
0.73,1,41,5499999.5,4499999.5,1,0,1,18,542,0,1,Pamoyanan
1.25,1,41,5499999.5,4499999.5,1,0,0,46,948,0,1,Pasirkaliki
