,trip_jarak,trip_pendapatan_bersih,trip_poin_tambahan,beh_peta_potensi,sosdem_usia,sosdem_jk,sosdem_pendidikan_terakhir,sosdem_jumlah_motor,sosdem_jumlah_mobil,sosdem_anggota_rt,sosdem_posisi_rt,sosdem_penghasilan_pribadi,sosdem_penghasilan_keluarga,sosdem_pekerjaan_selain,beh_platform,beh_rata_jam_online,beh_status_kendaraan,beh_lama_driver,beh_ojek_konvensional,loc_jumlah_pasar,loc_jumlah_sd,loc_jumlah_smp,loc_jumlah_sma,loc_jumlah_pt,loc_jumlah_halte,loc_jumlah_stasiun,loc_jumlah_terminal,loc_jumlah_hotel,loc_jumlah_mall,loc_jumlah_ofm,loc_jumlah_pickup,loc_jumlah_dropoff,loc_populasi,loc_jml_b_permukiman,loc_jumlah_taman,loc_jumlah_kantor,loc_avg_duration,trip_lamanya_waktu_pesanan,sosdem_status_nikah_Menikah,trip_jenis_pesanan_Food,trip_jenis_pesanan_Kurir Barang,trip_jenis_pesanan_Ride,trip_jenis_pembayaran_Tunai
62,1.45,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,12.0,0,0,0,1,1
63,2.97,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,17.0,0,0,0,1,0
64,1.47,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,9.0,0,0,0,1,0
65,3.18,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,12.0,0,0,0,1,1
66,5.76,12800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,0,0,1,0,0,0,3,0,58,236,265,12015,2335,0,1.0,1325.701986754967,28.0,0,1,0,0,0
67,1.78,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,14.0,0,0,0,1,0
68,6.74,13600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,31.0,0,0,0,1,0
69,3.5,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,15.0,0,0,0,1,0
70,1.77,7200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,24.0,0,1,0,0,0
71,2.21,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,7,3,0,1,0,0,0,5,1,34,237,247,26037,2387,0,7.0,1560.980132450331,14.0,0,0,0,1,0
72,1.41,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,11.0,0,0,0,1,0
73,1.91,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,14.0,0,0,0,1,0
74,1.25,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,4,1,1,1,0,0,0,3,0,24,115,146,21708,2425,0,5.0,1503.735099337748,132.0,0,0,0,1,0
75,3.16,14800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,19.0,0,1,0,0,0
76,5.33,11600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,21.0,0,1,0,0,1
77,2.22,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,2,0,1,0,0,0,0,1,0,48,125,171,6223,844,0,3.0,1132.437086092715,13.0,0,0,0,1,1
78,5.74,13200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,4,3,16,0,5,0,0,20,1,50,980,579,13277,630,0,2.0,1241.993377483444,19.0,0,0,0,1,1
79,1.86,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,5,6,12,0,4,0,0,6,1,32,699,271,8344,438,1,7.0,1170.907284768212,9.0,0,0,0,1,0
80,7.62,19600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,32.0,0,0,0,1,0
81,0.57,7200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,15.0,0,1,0,0,0
82,0.96,10400.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,5,4,0,0,0,0,0,6,0,32,245,225,13023,2232,0,2.0,1357.251655629139,11.0,0,1,0,0,0
83,7.72,15600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,21.0,0,0,0,1,0
84,3.38,10800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,2,0,1,0,0,0,0,0,68,63,85,10930,1582,0,1.0,1593.344370860927,33.0,0,1,0,0,0
85,1.26,7200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,2,0,0,0,0,0,0,1,0,9,39,44,12193,1973,0,3.0,1841.629139072848,1.0,0,1,0,0,0
86,2.17,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,31.0,0,1,0,0,1
87,1.2,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,8.0,0,0,0,1,0
88,6.48,13200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,23.0,0,0,0,1,0
89,0.94,10000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,10.0,0,1,0,0,0
90,5.17,17600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,4,1,1,1,0,0,0,3,0,24,115,146,21708,2425,0,5.0,1503.735099337748,26.0,0,0,0,1,0
91,5.05,12400.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,3,0,0,0,2,0,1,4,0,7,94,89,12180,1392,0,4.0,1199.026490066225,23.0,0,0,0,1,1
92,3.81,8800.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,56.0,0,1,0,0,0
93,1.43,3000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,65.0,0,1,0,0,0
94,2.51,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,13.0,0,0,0,1,0
95,4.5,11200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,21.0,0,0,0,1,0
96,1.04,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,6,5,0,4,3,0,0,14,0,44,147,191,10254,1419,0,15.0,1157.443708609271,13.0,0,0,0,1,1
97,5.85,13600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,6,5,0,4,3,0,0,14,0,44,147,191,10254,1419,0,15.0,1157.443708609271,22.0,0,0,0,1,0
98,2.03,12000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,26.0,0,1,0,0,0
99,4.19,13600.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,41.0,0,1,0,0,1
100,2.47,8000.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,0,3,1,0,2,4,1,0,24,0,46,380,382,17453,948,0,15.0,1264.397350993378,13.0,0,0,0,1,0
101,8.46,17200.0,150.0,3,38,0,3,1,0.0,3,0,3499999.5,5499999.5,1,0,11,1,8,0,1,2,3,0,3,1,0,0,1,1,18,240,179,7866,542,0,5.0,1413.76821192053,34.0,0,0,0,1,0
